dna_seq_sample_name,dir_dnaseq,dharma_id
138020875,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,133
138044085,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,134
138043798,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,135
138016289,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,136
138047245,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,137
138048198,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,138
138033221,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,139
138080047,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,140
138043856,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,141
138024544,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,143
138080489,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,145
138045372,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,146
138044121,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,149
138024745,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,150
138008140,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,151
138055803,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,152
138086155,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,153
138035030,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,154
138054398,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,156
138035178,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,157
138018713,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,158
138054910,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,159
138019382,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,160
138020099,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,161
138055014,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,162
138054997,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,163
